A ,CreatefileA,CreatefileW,CreatePipe,CreateNamedPipeW,CreateNamedPipeA,CreateFileMappingA,CreateFileMappingW,CreateDirectoryA,CreateDirectoryW,CreateDirectoryExA,CreateDirectoryExW,GetTempFileNameW,GetTempFileNameA,_lcreat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,OpenFile,OpenFileMappingA,OpenFileMappingW,CallNamedPipeA,CallNamedPipeW,MapViewOfFileEx,MapViewOfFile,_lopen,OpenEventA,OpenEventW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,WriteFile,WriteFileEx,WriteConsoleA,WriteConsoleW,_lwrite,WriteConsoleOutputW,WriteConsoleOutputCharacterW,WriteConsoleOutputCharacterA,WriteConsoleOutputAttribute,WriteConsoleOutputA,WriteConsoleInputW,WriteConsoleInputA,FillConsoleOutputCharacterW,FillConsoleOutputCharacterA,CopyFileA,CopyFileW,CopyFileExA,CopyFileExW,MoveFileA,MoveFileW,MoveFileExA,MoveFileExW,DeleteFileA,DeleteFileW,_lclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,FindNextFileA,FindNextFileW,SearchPathW,FindResourceW,GetShortPathNameA,GetShortPathNameW,GetFileInformationByHandle,GetPath,FindResourceExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ReadFile,ReadFileEx,ReadConsoleA,ReadConsoleW,_lread,_hread,_llseek,ReadConsoleInputA,ReadConsoleInputW,ReadConsoleOutputA,ReadConsoleOutputAttribute,ReadConsoleOutputCharacterA,ReadConsoleOutputCharacterW,ReadConsoleOutputW,PeekConsoleInputA,PeekConsoleInputW,GetFileSize,GetFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,SetFileAttributesA,SetFileAttributesW,SetConsoleMode,GetFileAttributesA,GetFileAttributesW,GetFullPathNameW,GetFullPathNameA,GetFileType,SetNamedPipeHandleState,GetTempPathW,GetTempPathA,SetCurrentDirectoryA,LockFile,LockFileEx,UnlockFile,UnlockFileEx,GetFileAttributesExA,GetFileAttributesExW,SetCurrentDirectoryW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,LoadLibraryW,LoadLibraryA,LoadLibraryExA,LoadLibraryExW,FreeLibrary,LoadResource,LoadModule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,RegOpenKeyW,RegOpenKeyA,RegOpenKeyExA,RegOpenKeyExW,RegQueryValueW,RegQueryValueExA,RegQueryValueExW,RegQueryInfoKeyA,RegQueryInfoKeyW,RegEnumKeyExA,RegEnumKeyExW,RegEnumValueA,RegEnumValueW,GetPrivateProfileStringW,RegQueryValueA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,RegCreateKeyA,RegCreateKeyW,RegCreateKeyExA,RegCreateKeyExW,WritePrivateProfileStringW,RegSetValueA,RegSetValueW,RegSetValueExA,RegSetValueExW,RegDeleteValueW,RegDeleteValueA,RegDeleteKeyW,RegDeleteKeyA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,OleTranslateAccelerator,OleSetClipboard,OleSetAutoConvert,OleRegGetMiscStatus,OleRegEnumVerbs,OleRegEnumFormatEtc,OleQueryLinkFromData,OleNoteObjectVisible,OleMetafilePictFromIconAndLabel,OleLockRunning,OleLoadFromStream,OleLoad,OleIsRunning,OleIsCurrentClipboard,OleGetIconOfFile,OleGetIconOfClass,OleGetAutoConvert,OleDoAutoConvert,OleDestroyMenuDescriptor,OleCreateMenuDescriptor,OleCreateStaticFromData,OleCreateLinkToFileEx,OleCreateLinkToFile,OleCreateLinkFromDataEx,OleCreateLinkFromData,OleCreateLinkEx,OleCreateLink,OleCreateFromFileEx,OleCreateFromFile,OleCreateFromDataEx,OleCreateFromData,OleCreateEx,OleCreateEmbeddingHelper,OleCreateDefaultHandler,OleCreate,OleConvertOLESTREAMToIStorageEx,OleConvertOLESTREAMToIStorage,OleConvertIStorageToOLESTREAMEx,OleConvertIStorageToOLESTREAM,OleBuildVersion,CoAddRefServerProcess,CoBuildVersion,CoCopyProxy,CoCreateFreeThreadedMarshaler,CoCreateGuid,CoCreateInstance,CoDisconnectObject,CoDosDateTimeToFileTime,CoFileTimeNow,CoFileTimeToDosDateTime,CoFreeAllLibraries,CoFreeLibrary,CoFreeUnusedLibraries,CoGetCallContext,CoGetClassObject,CoGetCurrentProcess,CoGetInstanceFromFile,CoGetInstanceFromIStorage,CoGetInterfaceAndReleaseStream,CoGetMalloc,CoGetMarshalSizeMax,CoGetObject,CoGetPSClsid,CoGetStandardMarshal,CoGetStdMarshalEx,CoGetTreatAsClass,CoImpersonateClient,CoInitialize,CoInitializeEx,CoInitializeSecurity,CoIsHandlerConnected,CoIsOle1Class,CoLoadLibrary,CoLockObjectExternal,ColorMatchToTarget,CoMarshalHresult,CoMarshalInterface,CoMarshalInterThreadInterfaceInStream,OleDraw,,OleDuplicateData,OleFlushClipboard,OleInitialize,OleQueryCreateFromData,OleRegGetUserType,OleRun,OleSave,OleSaveToStream,OleSetContainedObject,OleSetMenuDescriptor,OleUninitialize,OleGetClipboard,MonikerCommonPrefixWith,MonikerRelativePathTo,CreateFileMoniker,CreateItemMoniker,CreatePointerMoniker,BindMoniker,CreateAntiMoniker,CreateClassMoniker,DdeAbandonTransaction,DdeAccessData,DdeAddData,DdeClientTransaction,DdeCmpStringHandles,DdeConnect,DdeConnectList,DdeCreateDataHandle,DdeCreateStringHandleA,DdeCreateStringHandleW,DdeDisconnect,DdeDisconnectList,DdeEnableCallback,DdeFreeDataHandle,DdeFreeStringHandle,DdeGetData,DdeGetLastError,DdeImpersonateClient,DdeKeepStringHandle,DdeNameService,DdePostAdvise,DdeQueryConvInfo,DdeQueryNextServer,DdeQueryStringA,DdeQueryStringW,DdeReconnect,DdeSetQualityOfService,DdeSetUserHandle,DdeUnaccessData,DdeUninitialize,CoQueryAuthenticationServices,CoQueryClientBlanket,CoQueryProxyBlanket,,CoRegisterChannelHook,CoRegisterClassObject,CoRegisterMallocSpy,CoRegisterMessageFilter,CoRegisterPSClsid,CoRegisterSurrogate,CoReleaseMarshalData,CoReleaseServerProcess,CoResumeClassObjects,CoRevertToSelf,CoRevokeClassObject,CoRevokeMallocSpy,CoSetProxyBlanket,CoSuspendClassObjects,CoSwitchCallContext,CoTaskMemAlloc,CoTaskMemFree,CoTaskMemRealloc,CoTreatAsClass,CoUninitialize,CoUnmarshalHresult,CoUnmarshalInterface
K,CreateProcessW,CreateProcessA,CreateThread,CreateRemoteThread,ShellExecuteW,ShellExecuteA,WinExec,CreateProcessAsUserA,CreateProcessAsUserW,CreateProcessWithLogonW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,GetCurrentThreadId,GetWindowThreadProcessId,ReadProcessMemory,GetStartupInfoA,GetStartupInfoW,GetProcAddress,GetModuleHandleW,GetThreadLocale,GetModuleFileNameW,GetModuleHandleA,GetModuleFileNameA,GetCurrentProcessId,GetCommandLineA,VirtualQueryEx,GetProcessWindowStation,GetThreadDesktop,GetCommandLine,GetCommandLineW,LoadStringA,GetCurrentProcess,GetExitCodeProcess,GetExitCodeThread,GetProcessAffinityMask,GetProcessHeaps,GetProcessPriorityBoost,GetProcessShutdownParameters,GetProcessTimes,GetProcessWorkingSetSize,GetThreadPriority,GetThreadContext,GetThreadPriorityBoost,GetThreadSelectorEntry,GetThreadTimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,LocalFree,WriteProcessMemory,VirtualAllocEx,LocalAlloc,LockResource,VirtualProtectEx,GlobalAlloc,GlobalUnlock,GlobalFree,GlobalReAlloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SetThreadAffinityMask,SetThreadContext,SetThreadDesktop,SetThreadIdealProcessor,SetThreadLocale,SetThreadPriority,SetThreadPriorityBoost,SetProcessAffinityMask,SetProcessPriorityBoost,SetProcessShutdownParameters,SetProcessWindowStation,SetProcessWorkingSetSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,TerminateProcess,ExitProcess,ExitThread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,SetWindowsHookA,SetWindowsHookW,SetWindowsHookExA,SetWindowsHookExW,CallNextHookEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,IsDebuggerPresent,CheckRemoteDebuggerPresent,OutputDebugStringA,OutputDebugStringW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,CreateMutexW,CreateMutexA,CreateSemaphoreW,CreateSemaphoreA,OpenSemaphoreA,OpenSemaphoreW,OpenMutexA,OpenMutexW,ReleaseMutex,ReleaseSemaphore,HeapLock,HeapUnlock,CoCreateInstanceEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,GetDeviceCaps,DeviceIoControl,GetDriveTypeW,GetSystemTimeAsFileTime,GetProcessVersion,GetDriveTypeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,WSAStartup,WSASocketW,Socket,Bind,WSAAddressToStringA,Accept,WSAAccept,WSAConnect,WSASocketA,WSAIoctl,WSADuplicateSocketW,WSAStringToAddressA,WSAStringToAddressW,WSAAsyncSelect,__WSAFDIsSet,WSASetServiceW,WSASetServiceA,WSASetEvent,WSASetBlockingHook,WSAProviderConfigChange,WSANtohs,WSAIsBlocking,WSAInstallServiceClassW,WSAInstallServiceClassA,WSAHtons,WSAHtonl,WSAGetServiceClassNameByClassIdW,WSAGetServiceClassNameByClassIdA,WSAGetServiceClassInfoW,WSAGetServiceClassInfoA,WSAGetQOSByName,WSAEventSelect,WSAEnumProtocolsW,WSAEnumProtocolsA,WSAEnumNetworkEvents,WSAEnumNameSpaceProvidersW,WSAEnumNameSpaceProvidersA,WSADuplicateSocketA,WSAAddressToStringW,WSASendTo,Send,Recv,WSARecv,WSALookupServiceBeginW,WSALookupServiceBeginA,WSALookupServiceNextA,WSALookupServiceNextW,WSALookupServiceEnd,WSACreateEvent,WSAWaitForMultipleEvents,WSAUnhookBlockingHook,WSASendDisconnect,WSASend,WSARecvFrom,WSAJoinLeaf,WSAGetOverlappedResult,htonl,htons,inet_addr,inet_ntoa,connect,WSACleanup,WSACloseEvent,Closesocket,WSAResetEvent,WSARemoveServiceClass,WSACancelBlockingCall,WSACancelAsyncRequest,WSARecvDisconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,WSAAsyncGetServByPort,WSAAsyncGetServByName,InternetGetConnectedState,Gethostbyaddr,Gethostbyname,Gethostname,Getpeername,Getprotobyname,Getprotobynumbe,Getservbyname,Getservbyport,Getsockname,Getsockopt,WSAAsyncGetProtoByNumber,WSAAsyncGetProtoByName,WSAAsyncGetHostByName,WSAAsyncGetHostByAddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,FtpPutFileA,FtpPutFileW,FtpGetFileA,FtpGetFileW,FtpOpenFileA,FtpOpenFileW,InternetOpenA,InternetOpenW,InternetOpenUrlA,InternetOpenUrlW,InternetReadFile,URLDownloadToFileA,URLDownloadToFileW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,InternetWriteFile,TransactNamedPipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,CreateServiceW,CreateServiceA,StartServiceW,StartServiceA,ChangeServiceConfigW,ChangeServiceConfigA,ControlService,OpenSCManager,DeleteService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,OpenServiceA,OpenServiceW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,GetVersion,GetCursor,GetSystemMetrics,SetErrorMode,GetTickCount,SystemParametersInfoW,GetSystemDirectoryW,GetSystemTime,SystemTimeToFileTime,FileTimeToDosDateTime,GetCurrentDirectoryW,GetSystemInfo,GetEnvironmentVariableW,GetComputerNameW,LocalFileTimeToFileTime,ExpandEnvironmentStringsFunction,GetEnvironmentStringsW,FreeEnvironmentStringsW,ExpandEnvironmentStringsA,SearchPathA,GetEnvironmentStrings,GetPrivateProfileStringA,FreeEnvironmentStringsA,GetKeyboardState,GetKeyboardType,GetWindowsDirectoryA,GetWindowsDirectoryW,GetKeyboardLayout,GetKeyboardLayoutList,GetKeyboardLayoutNameA,GetKeyboardLayoutNameW,GetLocaleInfoA,GetLocaleInfoW,GetLocalTime,GetSystemTime,ExpandEnvironment,SetErrorModeEx,GetEnvironment,GetSystemMetrics,GetKeyboardInfo,GetComputerNameW,GetVersion,GetKeyboardList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,